ts,count
0,16913
1,15040
2,14360
3,10793
4,12977
5,11551
6,10301
7,9660
8,5372
9,3923
10,3158
11,2803
12,2326
13,2275
14,1914
15,1057
16,837
17,710
18,738
19,752
20,821
21,679
22,453
23,320
24,358
25,277
26,337
27,442
28,479
29,611
30,295
31,181
32,216
33,261
34,327
35,386
36,215
37,138
38,189
39,142
40,187
41,248
42,246
43,159
44,137
45,155
46,122
47,141
48,227
49,245
50,175
51,111
52,117
53,124
54,194
55,198
56,222
57,224
58,103
59,86
60,84
61,122
62,178
63,158
64,144
65,84
66,88
67,118
68,115
69,132
70,181
71,131
72,89
73,74
74,97
75,119
76,125
77,142
78,83
79,66
80,104
81,75
82,173
83,105
84,130
85,82
86,65
87,76
88,99
89,130
90,122
91,115
92,79
93,62
94,69
95,87
96,81
97,91
98,94
99,79
100,55
101,70
102,66
103,84
104,80
105,96
106,57
107,43
108,52
109,54
110,72
111,80
112,84
113,66
114,53
115,58
116,53
117,69
118,85
119,94
120,7705
