,research_signal,why_now,value_specificity,proof_relevance,pain_hypothesis,ask_clarity,ask_size,bespokeness,polish,economy,peer_tone,recipient_centricity
research_signal,1.0,0.002679789474878869,0.3792807835729843,0.3562887484222079,0.5141221366142664,-0.007523826748395095,-0.22436679358233644,0.8347263673354344,-0.03739683599608153,-0.07243162729007203,0.16245429424515734,0.5050971402665346
why_now,0.002679789474878869,1.0,-0.2229316332156323,-0.07855247060676673,-0.2904930494218943,0.17169986190150807,0.249004633798696,0.02506173406214716,0.06509030136897732,0.034483803193569966,0.07578957083935949,-0.04093588231767063
value_specificity,0.3792807835729843,-0.2229316332156323,1.0,0.4199909574827102,0.6004355057892968,-0.004446603711145398,-0.17074227507770534,0.3449625581437575,-0.016419666660202867,-0.17205992461034342,0.0011223200806140682,0.3345347325712843
proof_relevance,0.3562887484222079,-0.07855247060676673,0.4199909574827102,1.0,0.3111589900072762,0.13766627738364132,0.07854349551588224,0.2928933765524016,-0.024156258704752697,-0.1938703797585828,-0.02188401890726574,0.08421716279895329
pain_hypothesis,0.5141221366142664,-0.2904930494218943,0.6004355057892968,0.3111589900072762,1.0,-0.11011095682073224,-0.40022335625441224,0.4732387141033631,-0.007736083086183539,-0.09638535829312783,0.0545010450328781,0.4262529251620132
ask_clarity,-0.007523826748395095,0.17169986190150807,-0.004446603711145398,0.13766627738364132,-0.11011095682073224,1.0,0.3260316036797719,2.1777450671847302e-05,0.07625264761048216,-0.006398802756025701,-0.03202345609822412,-0.07470845225836206
ask_size,-0.22436679358233644,0.249004633798696,-0.17074227507770534,0.07854349551588224,-0.40022335625441224,0.3260316036797719,1.0,-0.149067404601928,0.05838800458216138,-0.0830233890413539,-0.15723423313910231,-0.29421907923429513
bespokeness,0.8347263673354344,0.02506173406214716,0.3449625581437575,0.2928933765524016,0.4732387141033631,2.1777450671847302e-05,-0.149067404601928,1.0,0.05845415496642237,-0.0524249860480941,0.20886281199586765,0.538864927225525
polish,-0.03739683599608153,0.06509030136897732,-0.016419666660202867,-0.024156258704752697,-0.007736083086183539,0.07625264761048216,0.05838800458216138,0.05845415496642237,1.0,0.21951657850149675,0.12162304944838945,0.029637106078183716
economy,-0.07243162729007203,0.034483803193569966,-0.17205992461034342,-0.1938703797585828,-0.09638535829312783,-0.006398802756025701,-0.0830233890413539,-0.0524249860480941,0.21951657850149675,1.0,0.2716060007345074,0.11952895093167687
peer_tone,0.16245429424515734,0.07578957083935949,0.0011223200806140682,-0.02188401890726574,0.0545010450328781,-0.03202345609822412,-0.15723423313910231,0.20886281199586765,0.12162304944838945,0.2716060007345074,1.0,0.39059845784808594
recipient_centricity,0.5050971402665346,-0.04093588231767063,0.3345347325712843,0.08421716279895329,0.4262529251620132,-0.07470845225836206,-0.29421907923429513,0.538864927225525,0.029637106078183716,0.11952895093167687,0.39059845784808594,1.0
