dimension,exact,within1,top2_agree,top2_kappa,top2_rate_a,top2_rate_b,r
research_signal,54.6,92.8,87.3,0.735,36.9,42.4,0.839
value_specificity,50.0,94.3,88.3,0.621,21.5,16.4,0.649
proof_relevance,58.7,91.5,83.1,0.662,50.3,55.2,0.863
pain_hypothesis,74.6,94.9,90.8,0.642,16.5,13.7,0.847
ask_clarity,61.6,94.4,85.5,0.57,74.0,83.9,0.553
bespokeness,65.4,97.8,85.0,0.602,26.1,24.3,0.754
polish,45.1,93.4,78.1,0.46,81.1,65.2,0.537
economy,67.2,99.7,78.4,0.256,88.1,77.5,0.437
peer_tone,61.0,97.2,68.2,0.318,63.2,62.8,0.394
recipient_centricity,63.5,99.0,93.3,0.445,7.2,5.7,0.498
why_now,91.6,,91.6,0.725,78.8,83.8,
ask_size,86.0,,,,,,
