dimension,exact,within1,top2_agree,top2_kappa,top2_rate_a,top2_rate_b,r
research_signal,53.0,92.6,88.0,0.749,36.2,41.4,0.826
value_specificity,45.3,88.8,89.4,0.665,20.8,18.5,0.673
proof_relevance,59.1,89.3,82.5,0.65,50.1,53.9,0.844
pain_hypothesis,73.6,94.5,91.9,0.694,16.0,15.4,0.84
ask_clarity,53.0,91.3,75.9,0.421,74.2,67.3,0.494
bespokeness,53.4,93.5,80.2,0.564,26.2,40.5,0.745
polish,48.9,93.8,84.1,0.428,81.5,85.2,0.47
economy,63.2,99.6,75.8,0.22,87.6,75.1,0.421
peer_tone,55.5,97.4,69.3,0.32,63.0,68.5,0.47
recipient_centricity,58.6,98.2,91.8,0.435,7.3,8.4,0.467
why_now,90.9,,90.9,0.716,80.0,80.1,
ask_size,85.1,,,,,,
